m***你,2017/6/3 16:08,1717黑金,43,鞋子很有型，颜色搭配很漂亮，鞋底很软，穿着舒适！价廉物美！卖家还贴心的放了薰衣草的香包，一打开香香的，还送了袜子。,,,,,,
奶***地,2017/6/8 0:32,2323白绿,41,！大小正好，然后鞋子穿上挺舒服的，值得这家是老店阿，第二次买了，值得。,,,,,,
a***9,2017/6/9 10:33,X6灰色,42,挺好额额额，当天九发货了，而且很快就到了，很文艺的鞋子哦。就是我穿着容易弄脏。不过用刷子一刷就变新了，期待能穿就一点。,,,,,,
小***国,2017/6/3 13:48,1717黑色,43,很好的一款布鞋，透气性好，款式很酷，价格不贵，谢谢卖家推荐尺码合脚，脚板宽平时穿42，这次拍大一码43码正好，下次还会关注，给五星好评！,,,,,,
嘉***6,2017/6/8 20:57,1717白绿,40,百搭鞋，质量上乘品，绝对的划算对于这个价钱来说！赶紧下手吧（重点是百搭鞋）,,,,,,
幸***缘,2017/6/7 18:31,006黑红,41,006黑红，情侣款为其中的男款，尺码为41 鞋底有弹性且比较耐折 卖家和物流公司的服务都很给力,,,,,,
l***8,2017/6/8 13:48,1717黑色,40,鞋子的款式不错，怪自己买小了一码！顶脚，赖得换了！物流快！果断直接好评！,,,,,,
呈***5,2017/6/10 8:22,1717棕色,41,穿上效果不错，女朋友说好看，自己喜欢就好。,,,,,,
李***8,2017/6/11 19:24,1717棕色,44,鞋很好，我很喜欢，穿着很舒服，不臭脚，黑色的上班穿，白色的在家穿，物流也挺好，五分,,,,,,
只***醉,2017/6/12 18:38,2323白黑,43,2017年6月1日，是一个终身难忘的日子，那天我收到鞋子马上穿着去上街，这件鞋子穿出了英姿飒爽的风度和帅气的背影，并且吸引了所有路人的，其中包括提刀的小混混，他们要把我穿的鞋子脱下来给他们看，我当然不干！如此好看的鞋子我一定拼了命的保护。最后我双手难敌三刀，进了医院，当我醒来的时候，鞋子没了，我握着拳头迟迟没有打开，我发誓以后还要买一件。,,,,,,
天***用,2017/6/10 9:40,838黑红,43,看了好几天才买的，期待已久，宝贝入手，还是很不错的，挺实惠的一次购物，款式样型都好看，就是太亮眼，哈哈，还送了袜子，谢谢老板,,,,,,
从***光,2017/5/2 12:52,838黑金,42,1.包装鞋盒好香，放了一个香包，商家有心了。 2.手工制作，感觉特别上档次。 3.很好看，穿上也特别舒服。 4.可以休闲，可以运动，半个月内又保修。 真的特别实惠了。,,,,,,
l***0,2017/5/15 17:26,1717棕色,44,穿了几天才来评价，物美价廉的鞋子，穿着很有型，送了袜子还有香包，精致穿着也舒服，很喜欢鞋的外观，也是百搭的鞋,,,,,,
精***z,2017/5/1 19:11,838黑白,41,鞋子试了下，前脚掌很软，穿着舒服，版型好看，配我的休闲裤，牛仔裤都可以。价格便宜必须好评。,,,,,,
w***9,2017/4/22 16:10,1300黑色,41,不错，做工很好，细心，耐脏，良心产品，在淘宝上很划算了，排名靠前说明东西还是不错的，不打脚，比一些品牌要舒服。图片我穿的有点脏了，但是这个很好洗，用洗衣服洗完超级干净，6的一批，超级喜欢，准备再来一单。,,,,,,
a***2,2017/5/18 16:41,1717棕色,41,宝贝到手就试穿了一下，感觉很值，比较舒服，而且款式也很好看，完全看不出是几十块钱的东西，实物和图片也是一样的，很赞，好评不解释。 耐磨性很好！ 服务很好！,,,,,,
1***叶,2017/5/5 14:48,A877白绿,42,宝贝收到了，穿在脚上确实很漂亮，我穿42码的，放一个鞋垫正好穿上，建议朋友们买的时候，按照正常码数拍小一码，新鞋子穿上正好，一段时间后就会变大的，我买来为了是晨练，很养脚，下次有需要还会再来的,,,,,,
辛***疯,2017/4/27 11:09,1717棕色,41,搭配一条深色裤子还是挺不错的，鞋底像是橡胶底，喜欢这种底，趁着天还不太热抓紧穿几天，只求淘到不开胶的鞋子,,,,,,
红***g,2017/4/30 23:41,1933黑红,44,给哥哥买的穿上可帅了 发货速度快 送的有运费险挺周到的 做工也不错鞋子上的涂鸦很有个性 是标准码 真的是物美价廉 包裹里面还放了香包 会继续关注和光顾你们家的 希望不会失望哦！,,,,,,
w***2,2017/5/24 21:27,5570黑白,43,鞋子很快就收到啦！物流特别的快，非常值，做工也非常的精细，在黏胶的地方完全没有看出溢胶。关键是穿在脚上非常的舒适没异味，与描述的完全一致，鞋底比较舒服一点都不算硬。想再入手一个颜色换着穿，很百搭以后就认准你家了。满意满意满意。,,,,,,
刘***淞,2017/6/6 12:21,238黑红,42,非常棒，真的，原本没对这个价位的鞋子报希望的，没想到上脚后感觉很舒适，很透气，仔细看做工也很棒，真的是喜出望外！良心厂家！以后还会继续关注！,,,,,,
单***人,2017/5/28 16:21,D01白色,44,东西漂亮，穿着舒适，透气，夏季凉爽，上身效果好，配牛仔裤，纯白上衣很不错,,,,,,
t***2,2017/5/22 16:44,838黑色,42,鞋子到了，很好看，质量也还可以，这个价格买的不错了，建议大家都可以来看看，鞋子收到啦！质量特别好，跟图片一模一样啊！下次还会光顾小小店的。 很好,,,,,,
l***8,2017/5/25 15:43,1933黑红,42,鞋子质量还是不错的，虽然客服小妹一直联系我给五星好评，但是我本着负责的态度特意穿了几天再来评价的，首先我的脚是四十一码半，拍的四十二码很合脚。再来我的脚也是臭脚，这鞋子也不是很臭。新鞋穿着很舒适，没有打脚等现象。我马上又买了一双。性价比很高的鞋。值得购买,,,,,,
h***y,2017/4/20 19:33,5570全黑,41,尺码合适，穿着非常舒服，这个价钱真的很值！款式也是我喜欢的样子，美中不足的就是印花只有半边。总得来说很好,,,,,,
t***2,2017/6/8 19:29,1717红色,43,鞋子非常时尚，穿着也很舒服，老公很喜欢！跟图片上一样漂亮！图片上的鞋子已经被穿了几天了，有点脏了！?,,,,,,
s***g,2017/4/17 16:31,1717黑色,42,收到鞋子打开有点超乎想象的好，送了袜子还有一个香草，快递在路上这几天把鞋都熏得香喷喷的，鞋子也如展示的一样好看。因为最近疯狂的学滑板，特别伤鞋子，买了双便宜的鞋子，这双鞋子不错，又便宜又好看又解释，现在买了东西很少评价，这个写这么多主要是觉得这家店做的特别用心，我喜欢用心做事情的人！,,,,,,
t***1,2017/6/1 20:56,1717黑色,42,刚刚好合适我，穿了几天穿起来很舒服，质量很好，几天都没烂，刚穿的时候给同事看到说我这双鞋好看，还有卖家服务很好，价格实惠，好鞋子,,,,,,
o***随,2017/4/23 15:48,838黑金,43,这鞋子真不错。女朋友帮选的。我本来不想要的，毕竟这么便宜的鞋子感觉好到那里去，又不能试穿。等鞋子回来看包装很差。。等拿出鞋子，想抱怨的话说不出来了。因为各方面看起来都还不错。穿上后也挺舒服。特意上来给个好评！实惠，穿着舒服。觉得很不错很超值。,,,,,,
q***1,2017/6/3 23:07,1717白黑,43,鞋子早到了都穿脏了才来评不好意思了，鞋子质量很好穿的挺舒服的，物有所值挺划算的性价比不错比实体店里便宜,,,,,,
s***6,2017/4/19 10:14,838黑红,42,鞋子已经收到了，非常拉风，嘻哈风格很潮，穿着挺舒适的，也透气，夏天用正好！,,,,,,
z***5,2017/6/2 11:19,1793黑金,43,质量没话说，好看，轻便透气反正弟弟非常喜欢，他说要我赶紧给姐夫买一双,,,,,,
买***i,2017/5/26 21:21,838黑白,42,2017-05-19 穿了几天很舒适，质量很好，样式好看，做工也很好，服务不错，这个是我买东西以来最满意的一次，这鞋子感觉非常非常的好，便宜实惠质量又好，穿着很舒适必须好评，以后买鞋就你家了！收藏店铺了！鞋子的跟高舒适度非常好，这是有良心的鞋店，真心推荐你以购买！,,,,,,
x***泪,2017/4/26 21:30,1717棕色,42,鞋子收到了，跟图片上的一样，没有色差，老公非常满意！就是邮寄的时候出了个小插曲，第一次发货没收到，跟客服联系了之后很快就给补发了一双，五天就邮寄到了，虽然晚收到几天但看到老公喜欢的样子还是挺开心的，好评是一定要给的！赞赞赞！！！,,,,,,
开***9,2017/5/28 6:50,1717黑色,41,质量很好，做工精细，鞋码很标准，底材穿着舒服又软乎，面料不错，孩子说非常喜欢，价格也超值，会再来的,,,,,,
w***4,2017/5/4 11:55,1717黑白,42,鞋子款式非常好，价格实惠，干的活是铝合金，这个厚度也可以，防滑最重要！话不多说，上图，很好看吧,,,,,,
砍***孩,2017/6/7 22:03,1717红色,41,鞋子收到了，抱歉这么久才评论，质量还是不错的，这个季节穿着挺舒服，样子也不错，而且价格可以，值得一买,,,,,,
w***8,2017/5/8 8:11,1717棕色,41,宝贝收到了，跟描述的一样，鞋码号正规，颜色和花纹搭配很到位，适合年轻人，鞋底防滑耐磨而且不易断，质量很好，时尚好看，性价比很高，我很满意，下次还会再来的，我赞评5分,,,,,,
l***7,2017/5/25 16:51,1717黑色,43,鞋子与图片一致，样式好看，底软透气，时尚，很喜欢，尺码准确，需要再来。,,,,,,
琴***8,2017/5/16 13:36,838黑白,41,我爱人平常不怎么爱穿布鞋，这次他偶然看到这双布鞋后，觉得还不错，也想穿双布鞋了，呵呵，前天晚上拍的，今天就到了，他还说咋这么快就到了啊，试穿了一下，效果还不错，就决定要了。,,,,,,
孤***灵,2017/5/27 13:41,D01白色,42,鞋早就收到了，一直没穿所以就没评论，最近穿了两天，感觉鞋码挺正常的，没有太大的偏差，款式也不错，价格也比较便宜，就是夏天穿稍微有点捂脚（可能是我个人体质问题吧）鞋底不算太软，不过并不影响走路，就是感觉颜色选错了（刚穿一天就被我整埋汰了）建议店家提醒一下快递公司，轻拿轻放，最起码不要像我收到的这个一样（鞋盒有一个角被怼进去了，还好鞋没事）,,,,,,
x***5,2017/4/15 8:09,838黑白,41,鞋子已收到，质量非常好，鞋底很软穿上很舒服，没想到四十几元能买到质量这么好的鞋子真的太划算了，店家还贴心的送了一双袜子，下次有需要会再来，全五星好评！,,,,,,
阿***u,2017/5/6 18:15,1717棕色,40,不好意思    评论迟了    宝贝很满意   鞋底软  穿起来很舒服   手感不错   就尺码有一点偏大    反正值   下次继续这家店了,,,,,,
t***1,2017/4/20 18:44,5570全黑,39,宝贝很适脚，穿上很舒服，颜色纯真，面料透气性好，值得再买，好评。物流公司也很给力。?,,,,,,
袁***6,2017/5/8 15:28,1793黑金,42,42 打开第一眼外观精致，细看做工也不错，穿起来也很舒适合脚 很满意的，而且的袜子质量感觉蛮好的,,,,,,
童***燕,2017/5/14 13:04,838黑白,39,05.12  鞋子和图片上一样，样式好看.，质量非常好，我儿子很欢喜， 鞋子挺舒适的，挺好的，价格也不错， 厚实 时尚，总体来说，品质不错。 鞋子收到好多天了，才来评价，见谅，物流速度没话说相当快，超乎我的想象，鞋子质量也没的说，轻巧时尚，无异味，而且价格也很实惠，下次还会来的，就是没送双袜子。,,,,,,
黄***m,2017/4/24 13:16,1717棕色,40,给我表弟买的，他说穿着很舒服，也很好看，质量也非常的赞，款式也是非常的好看，价格也非常实惠，下次还会光顾哟。,,,,,,
z***8,2017/6/2 8:29,1300黑色,43,宝贝已经收到，质量不错，款式新颖，穿起来很舒服，也好搭配衣服，给予好评！,,,,,,
东***头,2017/6/7 22:57,1300黑白,43,评论有点迟，不过这样才更有话语权，经过一段时间的使用，更加能发现此鞋的优点，不仅帅气耐穿，而且真的很舒服，也不捂脚，十足的休闲范儿！,,,,,,
今***4,2017/6/3 21:40,2323白红,41,鞋子早就收到了，我一般买东西很少评价，只有在没事的时候，鞋子跟图片上的一模一样，感觉非常不错，物美价廉，喜欢的朋友赶紧买，我不是拖并不是为了那好评返现I don&apos;t care ，总之喜欢赶紧买吧,,,,,,
喜***2,2017/5/6 8:54,1717黑色,42,这双鞋不仅外观精致，而且穿着也舒服，鞋底很厚正是我喜欢的类型。这双鞋在这店里买要有一倍价格才能买到。现在普通半价，哈哈真是太开心了。?,,,,,,
无***洋,2017/6/8 21:32,006黑红,43,鞋子已经收到，不错，很酷，包装的很好。质量很好，物美价廉。大爱。,,,,,,
妮***气,2017/6/10 18:57,5570全黑,39,鞋子非常棒，穿起来也合适,,,,,,
